127.0.0.1 - - [25/May/2022:09:09:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/May/2022:12:05:28 +0900] "POST /client/html/ex19.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/May/2022:12:06:34 +0900] "GET /client/html/ex19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:12:08:49 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [25/May/2022:12:08:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/May/2022:12:08:51 +0900] "POST /client/html/ex19.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/May/2022:12:09:29 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [25/May/2022:12:09:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/May/2022:12:10:15 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 1102
172.30.1.1 - - [25/May/2022:12:15:19 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 1102
172.30.1.1 - - [25/May/2022:12:15:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
172.30.1.21 - - [25/May/2022:12:19:16 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 1102
